id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,license,dateupload,datetaken,datetakengranularity,datetakenunknown,views,machine_tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,url_o,height_o,width_o
52701222173,52701222173,32368927@N02,808c56d27a,65535,66,Austrian Falls - Traveling Boots,1,0,0,2,1676916561,2022-10-11 14:55:27,0,0,99,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701222173_060d72954b_o.jpg,5304,7952
52700986259,52700986259,32368927@N02,ef6a28091f,65535,66,Light Falls,1,0,0,2,1676916562,2022-10-11 14:40:33,0,0,92,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700986259_f1f03eaf4f_o.jpg,4380,7786
52700986264,52700986264,32368927@N02,307b7e28ee,65535,66,Light Falls,1,0,0,2,1676916550,2022-10-11 14:38:23,0,0,78,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700986264_02194331b5_o.jpg,7952,5304
52700986139,52700986139,32368927@N02,6325955b1d,65535,66,Light Falls,1,0,0,2,1676916551,2022-10-11 14:42:57,0,0,76,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700986139_d12fc7a5b1_o.jpg,5142,7709
52700729401,52700729401,32368927@N02,d3c56a37fb,65535,66,Light Falls,1,0,0,2,1676916563,2022-10-11 14:45:44,0,0,88,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700729401_a99159ced5_o.jpg,5304,7952
52700207292,52700207292,32368927@N02,ee81c2d1ce,65535,66,Light Falls,1,0,0,2,1676916553,2022-10-11 14:45:56,0,0,74,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700207292_204c9d26a1_o.jpg,5304,7952
52701221643,52701221643,32368927@N02,c136f9ca55,65535,66,Light Falls,1,0,0,2,1676916563,2022-10-11 14:49:05,0,0,93,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701221643_287b2fe948_o.jpg,6214,4145
52701221608,52701221608,32368927@N02,232660bfbd,65535,66,Light Falls,1,0,0,2,1676916553,2022-10-11 14:49:14,0,0,74,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701221608_447dbaaf37_o.jpg,6214,4145
52701221603,52701221603,32368927@N02,8b43b24414,65535,66,Light Falls,1,0,0,2,1676916554,2022-10-11 14:49:56,0,0,108,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701221603_c5252eba5c_o.jpg,7509,5009
52700206732,52700206732,32368927@N02,d5a555b518,65535,66,Cozy Austrian Church,1,0,0,2,1676916566,2022-10-11 15:09:20,0,0,79,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700206732_c78c720ecd_o.jpg,7436,4960
52700206697,52700206697,32368927@N02,103c706978,65535,66,Cozy Austrian Church,1,0,0,2,1676916558,2022-10-11 15:09:20,0,0,65,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700206697_eb9cb7e2c6_o.jpg,7546,5033
52700206617,52700206617,32368927@N02,520e96355e,65535,66,Cozy Austrian Church,1,0,0,2,1676916567,2022-10-11 15:10:57,0,0,79,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700206617_0a5915f3f1_o.jpg,7541,5030
52701147235,52701147235,32368927@N02,20b90d00d7,65535,66,Cozy Austrian Church,1,0,0,2,1676916567,2022-10-11 15:18:14,0,0,178,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701147235_9e7d0e1e01_o.jpg,7952,5304
52701220703,52701220703,32368927@N02,70ff7143d3,65535,66,Cozy Austrian Church,1,0,0,2,1676916558,2022-10-11 15:18:38,0,0,68,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701220703_7c368599d7_o.jpg,5139,7705
52701147205,52701147205,32368927@N02,37f64a59a5,65535,66,Cozy Austrian Church,1,0,0,2,1676916558,2022-10-11 15:18:14,0,0,65,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701147205_f55991df5c_o.jpg,7952,5304
52700206442,52700206442,32368927@N02,c011dbd50f,65535,66,Fading Light in the Austrian Alps,1,0,0,2,1676916559,2022-10-11 15:31:26,0,0,93,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700206442_52b2ef5ff4_o.jpg,4232,6345
52700984984,52700984984,32368927@N02,94d3076fc8,65535,66,A Collision of Seasons,1,0,0,2,1676916568,2022-10-11 15:47:00,0,0,139,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700984984_175d237e50_o.jpg,4047,7194
52701220163,52701220163,32368927@N02,65095c436e,65535,66,A Collision of Seasons,1,0,0,2,1676916570,2022-10-11 15:52:16,0,0,146,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701220163_04f9c386d6_o.jpg,5304,7952
52701220083,52701220083,32368927@N02,ddebf9c969,65535,66,A Collision of Seasons,1,0,0,2,1676916560,2022-10-11 15:52:25,0,0,70,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701220083_0faff051f3_o.jpg,4473,7952
52700727766,52700727766,32368927@N02,ef33c1bef5,65535,66,A Collision of Seasons,1,0,0,2,1676916572,2022-10-11 15:53:09,0,0,142,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700727766_6c3db9c733_o.jpg,4834,7248
52701146185,52701146185,32368927@N02,e5de7fa49c,65535,66,A Collision of Seasons,1,0,0,2,1676916561,2022-10-11 15:53:10,0,0,76,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701146185_aafdace2d1_o.jpg,5213,7816
52059583708,52059583708,162684392@N05,b1544c4d79,65535,66,Change of weather,1,0,0,0,1652036166,2021-09-12 12:29:53,0,0,4844,,47.030895,12.629256,15,0,,2763849,1,0,0,0,https://live.staticflickr.com/65535/52059583708_855639a785_o.jpg,2160,3240
51882551340,51882551340,30883793@N06,74454be8fc,65535,66,"Winter in Osttirol, winter in Tyrol",1,0,0,0,1644863764,2022-02-05 18:00:12,0,0,493,,47.013080,12.639347,16,0,,2760803,1,0,0,0,https://live.staticflickr.com/65535/51882551340_b75ac0038b_o.jpg,3682,4909
51585360915,51585360915,162684392@N05,df6e214ea7,65535,66,Nature,1,0,0,0,1634133788,2019-09-12 13:52:18,0,0,4475,,47.016502,12.638772,16,0,,2760803,1,0,0,0,https://live.staticflickr.com/65535/51585360915_64644fd076_o.jpg,2160,3840
51381320640,51381320640,44583112@N06,8632a522a3,65535,66,Begin of Dorfer Valley,1,0,0,0,1629055472,2021-08-05 17:37:45,0,0,91,,47.011066,12.643516,16,0,,2777880,1,0,0,0,https://live.staticflickr.com/65535/51381320640_c11fdce207_o.jpg,4912,7360
51380154786,51380154786,44583112@N06,f862826c36,65535,66,Dabaklamm at Dorfer valley,1,0,0,0,1629051105,2021-08-12 10:42:48,0,0,89,,47.030405,12.625094,16,0,,2763849,1,0,0,0,https://live.staticflickr.com/65535/51380154786_417072af2f_o.jpg,6716,6190
51380392403,51380392403,44583112@N06,807b561937,65535,66,Dorfertal,1,0,0,0,1629051105,2021-08-12 11:00:59,0,0,95,,47.039297,12.624686,16,0,,2763849,1,0,0,0,https://live.staticflickr.com/65535/51380392403_1b5830b8f8_o.jpg,7252,9925
51380154606,51380154606,44583112@N06,61534e25e6,65535,66,partially destroyed hut in the Dorfer valley.,1,0,0,6,1629051106,2021-08-12 11:11:59,0,0,100,,47.039297,12.624686,16,0,,2763849,1,0,0,0,https://live.staticflickr.com/65535/51380154606_95dabf959c_o.jpg,4871,9879
51334426659,51334426659,70008341@N00,f77463983d,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209362,2021-07-06 10:02:34,0,0,221,,47.024163,12.690211,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334426659_9f29c9bd3c_o.jpg,3456,5184
51332972312,51332972312,70008341@N00,6c00a4a97e,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209363,2021-07-06 10:03:06,0,0,91,,47.024327,12.690491,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51332972312_55b456043e_o.jpg,3456,5184
51332971912,51332971912,70008341@N00,157a0d5f13,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209364,2021-07-06 10:12:01,0,0,132,,47.027455,12.690569,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51332971912_0fd9bf9c7e_o.jpg,3456,5184
51334702005,51334702005,70008341@N00,df31e779bf,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209364,2021-07-06 10:33:07,0,0,110,,47.035263,12.692477,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334702005_88f54ecdec_o.jpg,3456,5184
51332971387,51332971387,70008341@N00,64ed88e0d7,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209365,2021-07-06 10:38:18,0,0,108,,47.035622,12.693361,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51332971387_57cdefc600_o.jpg,3456,5184
51333703846,51333703846,70008341@N00,c3d5f438c1,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209365,2021-07-06 10:41:57,0,0,93,,47.036744,12.692672,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51333703846_7bc0f7f9da_o.jpg,3456,5184
51334701070,51334701070,70008341@N00,cf6f498819,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209365,2021-07-06 10:53:58,0,0,89,,47.039358,12.690730,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334701070_8b1d00648e_o.jpg,3343,5015
51334700710,51334700710,70008341@N00,bb75220b83,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209366,2021-07-06 10:54:07,0,0,121,,47.039358,12.690730,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334700710_7093055b00_o.jpg,3456,5184
51334424024,51334424024,70008341@N00,4f89fdbf45,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209367,2021-07-06 11:04:58,0,0,97,,47.041419,12.690136,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334424024_11aa35c560_o.jpg,3456,5184
51334699955,51334699955,70008341@N00,1d518efc71,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209367,2021-07-06 11:21:31,0,0,111,,47.045936,12.689355,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334699955_13354cc1b2_o.jpg,3456,5184
51333916603,51333916603,70008341@N00,5c4695c6ec,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209368,2021-07-06 11:21:43,0,0,125,,47.045997,12.689352,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51333916603_95aaa9931a_o.jpg,3456,5184
51332969087,51332969087,70008341@N00,7c349e29a8,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209369,2021-07-06 11:22:53,0,0,83,,47.046286,12.689361,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51332969087_db2f87ca32_o.jpg,3456,5184
51334695880,51334695880,70008341@N00,c674d290ae,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209376,2021-07-06 15:33:59,0,0,91,,47.046363,12.689075,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334695880_6e980d0646_o.jpg,3456,5184
51334695620,51334695620,70008341@N00,c0b03047bb,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209377,2021-07-06 15:35:05,0,0,85,,47.046169,12.689213,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334695620_26d62a88a9_o.jpg,3456,5184
51333697901,51333697901,70008341@N00,977e8ef0f9,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209378,2021-07-06 15:36:39,0,0,90,,47.045636,12.689227,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51333697901_572a0961ff_o.jpg,3456,5184
51334695140,51334695140,70008341@N00,81cbfd7623,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209378,2021-07-06 15:40:33,0,0,107,,47.043341,12.689330,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334695140_13ec007810_o.jpg,3456,5184
51334694820,51334694820,70008341@N00,e62dee795e,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209379,2021-07-06 15:47:48,0,0,112,,47.039855,12.690538,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334694820_c77e21bffb_o.jpg,3456,5184
51334418389,51334418389,70008341@N00,279a9ef13a,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209380,2021-07-06 15:52:15,0,0,123,,47.038686,12.691125,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334418389_5b4cd02bb7_o.jpg,3456,5184
51334694360,51334694360,70008341@N00,c7c7304d72,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209380,2021-07-06 15:57:32,0,0,95,,47.036666,12.692708,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334694360_0de46c9cdc_o.jpg,3456,5184
51333911123,51333911123,70008341@N00,2a85579e87,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209381,2021-07-06 16:14:40,0,0,126,,47.030641,12.690905,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51333911123_244f0606ec_o.jpg,3456,5184
51334417674,51334417674,70008341@N00,d81ac8623e,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209381,2021-07-06 16:18:15,0,0,117,,47.029005,12.690572,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51334417674_b6d36e17ed_o.jpg,3456,5184
51332963412,51332963412,70008341@N00,ee3e309c20,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209382,2021-07-06 16:19:33,0,0,183,,47.028863,12.690597,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51332963412_420c601d5c_o.jpg,3456,5184
51333910248,51333910248,70008341@N00,4a6e1588de,65535,66,Wanderung am Großglockner am 6.7.2021,1,0,0,2,1627209382,2021-07-06 16:29:18,0,0,135,,47.024680,12.690080,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/51333910248_d4b1d07c93_o.jpg,3411,5117
50838743577,50838743577,52364154@N07,9a17073061,65535,66,DSC_0063,1,0,0,6,1610730764,2020-10-10 14:45:41,0,0,2,,47.017288,12.712827,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/50838743577_81b42fd943_o.jpg,3024,4032
50565747623,50565747623,162684392@N05,ebf2796895,65535,66,Ogre,1,0,0,0,1604501721,2019-09-12 14:36:36,0,0,3541,,47.023231,12.634191,16,0,,2763849,1,0,0,0,https://live.staticflickr.com/65535/50565747623_b3491184a0_o.jpg,2160,3840
50400896187,50400896187,51809780@N04,8ceea22804,65535,66,Lucknerhütte,1,0,0,0,1601463357,2020-09-04 15:27:19,0,0,102,,47.029675,12.689541,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/50400896187_13c3841562_o.jpg,1080,1920
50400839017,50400839017,51809780@N04,78c6417875,65535,66,Lucknerhütte,1,0,0,0,1601463358,2020-09-04 16:11:02,0,0,105,,47.029077,12.690572,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/50400839017_1945585315_o.jpg,1080,1920
50399984173,50399984173,51809780@N04,4794c8f71b,65535,66,Lucknerhütte,1,0,0,0,1601463359,2020-09-04 16:39:00,0,0,108,,47.024511,12.690127,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/50399984173_3ae9c3b943_o.jpg,1920,1080
50317675752,50317675752,55276107@N00,1c14143641,65535,66,Großglockner,1,0,0,3,1599513399,2020-08-21 09:27:12,0,0,73,,47.023414,12.689670,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/50317675752_3dbb4b144a_o.jpg,1365,2048
49813568687,49813568687,8250978@N04,0661d6bc22,65535,66,Flying over the Alps,1,0,0,2,1587730568,2020-01-02 13:01:04,0,0,33,,47.019961,12.718041,16,0,,2603936,1,0,0,0,https://live.staticflickr.com/65535/49813568687_e011f48891_o.jpg,667,1000
49505693098,49505693098,30883793@N06,e00220b0a3,65535,66,"Kals, Tyrol, St. Georg and snowfall",1,0,0,0,1581177602,2020-02-05 13:33:26,0,0,3582,,47.006833,12.643677,16,0,,11592305,1,0,0,0,https://live.staticflickr.com/65535/49505693098_06d731e68f_o.jpg,3355,5032
49493996797,49493996797,145589989@N04,d4d9d64f51,65535,66,Matrei 2020,1,0,0,0,1580934824,2020-02-01 10:13:02,0,0,89,,47.011991,12.620286,16,0,,2777880,1,0,0,0,https://live.staticflickr.com/65535/49493996797_0f8f883f17_o.jpg,3080,5472
