,id,owner,secret,server,farm,title,ispublic,isfriend,isfamily,license,dateupload,datetaken,datetakengranularity,datetakenunknown,views,machine_tags,latitude,longitude,accuracy,context,place_id,woeid,geo_is_public,geo_is_contact,geo_is_friend,geo_is_family,url_o,height_o,width_o,url_m,height_m,width_m,url_t,height_t,width_t,url_n,height_n,width_n
52701222173,52701222173,32368927@N02,808c56d27a,65535,66,Austrian Falls - Traveling Boots,1,0,0,2,1676916561,2022-10-11 14:55:27,0,0,114,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701222173_060d72954b_o.jpg,5304,7952,https://live.staticflickr.com/65535/52701222173_808c56d27a.jpg,334,500,https://live.staticflickr.com/65535/52701222173_808c56d27a_t.jpg,67,100,https://live.staticflickr.com/65535/52701222173_808c56d27a_n.jpg,213,320
52700986259,52700986259,32368927@N02,ef6a28091f,65535,66,Light Falls,1,0,0,2,1676916562,2022-10-11 14:40:33,0,0,122,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700986259_f1f03eaf4f_o.jpg,4380,7786,https://live.staticflickr.com/65535/52700986259_ef6a28091f.jpg,281,500,https://live.staticflickr.com/65535/52700986259_ef6a28091f_t.jpg,56,100,https://live.staticflickr.com/65535/52700986259_ef6a28091f_n.jpg,180,320
52700986264,52700986264,32368927@N02,307b7e28ee,65535,66,Light Falls,1,0,0,2,1676916550,2022-10-11 14:38:23,0,0,86,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700986264_02194331b5_o.jpg,7952,5304,https://live.staticflickr.com/65535/52700986264_307b7e28ee.jpg,500,334,https://live.staticflickr.com/65535/52700986264_307b7e28ee_t.jpg,100,67,https://live.staticflickr.com/65535/52700986264_307b7e28ee_n.jpg,320,213
52700986139,52700986139,32368927@N02,6325955b1d,65535,66,Light Falls,1,0,0,2,1676916551,2022-10-11 14:42:57,0,0,82,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700986139_d12fc7a5b1_o.jpg,5142,7709,https://live.staticflickr.com/65535/52700986139_6325955b1d.jpg,334,500,https://live.staticflickr.com/65535/52700986139_6325955b1d_t.jpg,67,100,https://live.staticflickr.com/65535/52700986139_6325955b1d_n.jpg,213,320
52700729401,52700729401,32368927@N02,d3c56a37fb,65535,66,Light Falls,1,0,0,2,1676916563,2022-10-11 14:45:44,0,0,95,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700729401_a99159ced5_o.jpg,5304,7952,https://live.staticflickr.com/65535/52700729401_d3c56a37fb.jpg,334,500,https://live.staticflickr.com/65535/52700729401_d3c56a37fb_t.jpg,67,100,https://live.staticflickr.com/65535/52700729401_d3c56a37fb_n.jpg,213,320
52700207292,52700207292,32368927@N02,ee81c2d1ce,65535,66,Light Falls,1,0,0,2,1676916553,2022-10-11 14:45:56,0,0,84,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700207292_204c9d26a1_o.jpg,5304,7952,https://live.staticflickr.com/65535/52700207292_ee81c2d1ce.jpg,334,500,https://live.staticflickr.com/65535/52700207292_ee81c2d1ce_t.jpg,67,100,https://live.staticflickr.com/65535/52700207292_ee81c2d1ce_n.jpg,213,320
52701221643,52701221643,32368927@N02,c136f9ca55,65535,66,Light Falls,1,0,0,2,1676916563,2022-10-11 14:49:05,0,0,102,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701221643_287b2fe948_o.jpg,6214,4145,https://live.staticflickr.com/65535/52701221643_c136f9ca55.jpg,500,334,https://live.staticflickr.com/65535/52701221643_c136f9ca55_t.jpg,100,67,https://live.staticflickr.com/65535/52701221643_c136f9ca55_n.jpg,320,213
52701221608,52701221608,32368927@N02,232660bfbd,65535,66,Light Falls,1,0,0,2,1676916553,2022-10-11 14:49:14,0,0,80,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701221608_447dbaaf37_o.jpg,6214,4145,https://live.staticflickr.com/65535/52701221608_232660bfbd.jpg,500,334,https://live.staticflickr.com/65535/52701221608_232660bfbd_t.jpg,100,67,https://live.staticflickr.com/65535/52701221608_232660bfbd_n.jpg,320,213
52701221603,52701221603,32368927@N02,8b43b24414,65535,66,Light Falls,1,0,0,2,1676916554,2022-10-11 14:49:56,0,0,120,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701221603_c5252eba5c_o.jpg,7509,5009,https://live.staticflickr.com/65535/52701221603_8b43b24414.jpg,500,334,https://live.staticflickr.com/65535/52701221603_8b43b24414_t.jpg,100,67,https://live.staticflickr.com/65535/52701221603_8b43b24414_n.jpg,320,213
52700206732,52700206732,32368927@N02,d5a555b518,65535,66,Cozy Austrian Church,1,0,0,2,1676916566,2022-10-11 15:09:20,0,0,87,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700206732_c78c720ecd_o.jpg,7436,4960,https://live.staticflickr.com/65535/52700206732_d5a555b518.jpg,500,334,https://live.staticflickr.com/65535/52700206732_d5a555b518_t.jpg,100,67,https://live.staticflickr.com/65535/52700206732_d5a555b518_n.jpg,320,213
52700206697,52700206697,32368927@N02,103c706978,65535,66,Cozy Austrian Church,1,0,0,2,1676916558,2022-10-11 15:09:20,0,0,71,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700206697_eb9cb7e2c6_o.jpg,7546,5033,https://live.staticflickr.com/65535/52700206697_103c706978.jpg,500,333,https://live.staticflickr.com/65535/52700206697_103c706978_t.jpg,100,67,https://live.staticflickr.com/65535/52700206697_103c706978_n.jpg,320,213
52700206617,52700206617,32368927@N02,520e96355e,65535,66,Cozy Austrian Church,1,0,0,2,1676916567,2022-10-11 15:10:57,0,0,88,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700206617_0a5915f3f1_o.jpg,7541,5030,https://live.staticflickr.com/65535/52700206617_520e96355e.jpg,500,334,https://live.staticflickr.com/65535/52700206617_520e96355e_t.jpg,100,67,https://live.staticflickr.com/65535/52700206617_520e96355e_n.jpg,320,213
52701147235,52701147235,32368927@N02,20b90d00d7,65535,66,Cozy Austrian Church,1,0,0,2,1676916567,2022-10-11 15:18:14,0,0,202,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701147235_9e7d0e1e01_o.jpg,7952,5304,https://live.staticflickr.com/65535/52701147235_20b90d00d7.jpg,500,334,https://live.staticflickr.com/65535/52701147235_20b90d00d7_t.jpg,100,67,https://live.staticflickr.com/65535/52701147235_20b90d00d7_n.jpg,320,213
52701220703,52701220703,32368927@N02,70ff7143d3,65535,66,Cozy Austrian Church,1,0,0,2,1676916558,2022-10-11 15:18:38,0,0,74,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701220703_7c368599d7_o.jpg,5139,7705,https://live.staticflickr.com/65535/52701220703_70ff7143d3.jpg,333,500,https://live.staticflickr.com/65535/52701220703_70ff7143d3_t.jpg,67,100,https://live.staticflickr.com/65535/52701220703_70ff7143d3_n.jpg,213,320
52701147205,52701147205,32368927@N02,37f64a59a5,65535,66,Cozy Austrian Church,1,0,0,2,1676916558,2022-10-11 15:18:14,0,0,71,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701147205_f55991df5c_o.jpg,7952,5304,https://live.staticflickr.com/65535/52701147205_37f64a59a5.jpg,500,334,https://live.staticflickr.com/65535/52701147205_37f64a59a5_t.jpg,100,67,https://live.staticflickr.com/65535/52701147205_37f64a59a5_n.jpg,320,213
52700206442,52700206442,32368927@N02,c011dbd50f,65535,66,Fading Light in the Austrian Alps,1,0,0,2,1676916559,2022-10-11 15:31:26,0,0,104,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700206442_52b2ef5ff4_o.jpg,4232,6345,https://live.staticflickr.com/65535/52700206442_c011dbd50f.jpg,333,500,https://live.staticflickr.com/65535/52700206442_c011dbd50f_t.jpg,67,100,https://live.staticflickr.com/65535/52700206442_c011dbd50f_n.jpg,213,320
52700984984,52700984984,32368927@N02,94d3076fc8,65535,66,A Collision of Seasons,1,0,0,2,1676916568,2022-10-11 15:47:00,0,0,152,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52700984984_175d237e50_o.jpg,4047,7194,https://live.staticflickr.com/65535/52700984984_94d3076fc8.jpg,281,500,https://live.staticflickr.com/65535/52700984984_94d3076fc8_t.jpg,56,100,https://live.staticflickr.com/65535/52700984984_94d3076fc8_n.jpg,180,320
52701220163,52701220163,32368927@N02,65095c436e,65535,66,A Collision of Seasons,1,0,0,2,1676916570,2022-10-11 15:52:16,0,0,161,,47.001852,12.643911,16,0,,3323885,1,0,0,0,https://live.staticflickr.com/65535/52701220163_04f9c386d6_o.jpg,5304,7952,https://live.staticflickr.com/65535/52701220163_65095c436e.jpg,334,500,https://live.staticflickr.com/65535/52701220163_65095c436e_t.jpg,67,100,https://live.staticflickr.com/65535/52701220163_65095c436e_n.jpg,213,320
